defect,detail,title,size,category,upc,sku,price,in_stock,url,offer_id
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 12x30,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 12x30 / White / 9OP,12x30,Picture Frame,00198301010344,,31.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45215319883846
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 14x14,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 14x14 with 4x6 mat / White / 6OP,14x14,Picture Frame,00198301010320,,6.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45215319720006
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 20x20,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 20x20 / White / 11OP,20x20,Picture Frame,00198301010412,,29.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45215319851078
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 5x7,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 5x7 / White,5x7,Picture Frame,,,24.99,yes,https://americanflat.com/products/picture-frame-with-mat-engineered-wood-shatter-resistant-glass-wall-art,shopify_US_8396449546310_45042149851206
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Black / Circle,6x6,Picture Frame,00810131996437,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579023430
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Gold / Circle,6x6,Picture Frame,00810131996499,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579088966
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Gold / Heart,6x6,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580104774
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Natural Oak / Circle,6x6,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579875398
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Silver / Circle,6x6,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579908166
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Silver / Heart,6x6,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580137542
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / Walnut / Heart,6x6,Picture Frame,00810131996543,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579351110
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / White / Circle,6x6,Picture Frame,00810131996550,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579121734
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x6,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x6 / White / Heart,6x6,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580170310
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Black / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581349958
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Black / Waves,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582005318
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Driftwood / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581382726
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Gold / Arched,6x8,Picture Frame,00810131996659,,12.99,yes,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579449414
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Gold / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581448262
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Natural Oak / Arched,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580432454
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Natural Oak / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581415494
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Silver / Arched,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580465222
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Walnut / Arched,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580497990
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / Walnut / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581513798
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / White / Arched,6x8,Picture Frame,00810131996734,,12.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579482182
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / White / Oval,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581546566
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 6x8,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 6x8 / White / Waves,6x8,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582136390
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 7x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 7x16 / Black / 2 Opening,7x16,Picture Frame,00198301010221,,13.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583676486
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 7x16,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 7x16 / White / 2 Opening,7x16,Picture Frame,00198301010368,,16.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211583709254
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Black / Arched,8x10,Picture Frame,00810131996833,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211579547718
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Black / Oval,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211581579334
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Black / Waves,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211582169158
variant size vs title size,the title also names 11x14 (the parent listing's size); the variant actually sold here is 8x10,11x14 | Black | Picture Frame | Matted to 8x10 | Signature 8x10 / Driftwood / Arched,8x10,Picture Frame,,,10.99,no,https://americanflat.com/products/americanflat-picture-frame-includes-mat-classic-molding-signature-collection,shopify_US_8423992066118_45211580727366
